oshpd_id,FacilityName2,CountyName,system,LICENSED_BED_SIZE,HospitalOwnership,UrbanRuralDesi,TEACHINGDesignation,Category,Tot_ED_NmbVsts,EDStations,EDDXCount,LATITUDE,LONGITUDE,PrimaryCareShortageArea,MentalHealthShortageArea
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Active COVID-19,11185,12,262,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Stroke,11185,12,13,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,COPD,11185,12,318,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,COVID-19 History,11185,12,119,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Hypertension,11185,12,2856,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Obesity,11185,12,338,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Diabetes,11185,12,1362,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Cardiac,11185,12,16,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Sepsis,11185,12,15,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Cancer,11185,12,62,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Substance Abuse,11185,12,2260,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Homeless,11185,12,338,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Pneumonia,11185,12,96,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Respiratory,11185,12,34,37.76266,-122.253991,No,No
106010735,Alameda Hospital,Alameda,Alameda Health System,100-149,Government,Urban,Non-Teaching,Asthma,11185,12,1167,37.76266,-122.253991,No,No
